"code","name_latin","name_english","name_french","name_spanish"
"STSA","Calidris himantopus","Stilt Sandpiper","Bécasseau à échasses","Correlimos zancolín"
"SUSC","Melanitta perspicillata","Surf Scoter","Macreuse à front blanc","Negrón careto"
"SUTA","Piranga rubra","Summer Tanager","Piranga vermillon","Piranga roja"
"SWHA","Buteo swainsoni","Swainson's Hawk","Buse de Swainson","Busardo chapulinero"
"SWSP","Melospiza georgiana","Swamp Sparrow","Bruant des marais","Chingolo pantanero"
"SWTH","Catharus ustulatus","Swainson's Thrush","Grive à dos olive","Zorzalito quemado"
"SWWA","Limnothlypis swainsonii","Swainson's Warbler","Paruline de Swainson","Reinita de Swainson"
"TBKI","Tyrannus crassirostris","Thick-billed Kingbird","Tyran à bec épais","Tirano piquigrueso"
"TBMU","Uria lomvia","Thick-billed Murre","Guillemot de Brünnich","Arao de Brünnich"
"TEWA","Leiothlypis peregrina","Tennessee Warbler","Paruline obscure","Reinita de Tennessee"
"TOSO","Myadestes townsendi","Townsend's Solitaire","Solitaire de Townsend","Solitario norteño"
"TOWA","Setophaga townsendi","Townsend's Warbler","Paruline de Townsend","Reinita de Townsend"
"TRES","Tachycineta bicolor","Tree Swallow","Hirondelle bicolore","Golondrina bicolor"
"TRHE","Egretta tricolor","Tricolored Heron","Aigrette tricolore","Garceta tricolor"
"TRKI","Tyrannus melancholicus","Tropical Kingbird","Tyran mélancolique","Tirano melancólico"
